trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,RDDE,18:56 25-Feb,19:34 25-Feb,18:58 25-Feb,19:35 25-Feb
11058,NUR,19:09 25-Feb,19:44 25-Feb,19:11 25-Feb,19:46 25-Feb
11058,ANDI,19:24 25-Feb,20:00 25-Feb,19:26 25-Feb,20:02 25-Feb
11058,SZM,19:50 25-Feb,20:11 25-Feb,19:52 25-Feb,20:20 25-Feb
11058,NDLS,20:25 25-Feb,20:37 25-Feb,20:40 25-Feb,20:52 25-Feb
11058,NZM,20:51 25-Feb,21:07 25-Feb,20:53 25-Feb,21:09 25-Feb
11058,FDB,21:12 25-Feb,21:30 25-Feb,21:14 25-Feb,21:32 25-Feb
11058,BVH,21:23 25-Feb,21:40 25-Feb,21:25 25-Feb,21:42 25-Feb
11058,PWL,21:53 25-Feb,22:01 25-Feb,21:55 25-Feb,22:03 25-Feb
11058,KSV,22:28 25-Feb,22:39 25-Feb,22:30 25-Feb,22:42 25-Feb
11058,MTJ,23:00 25-Feb,23:15 25-Feb,23:05 25-Feb,23:20 25-Feb
11058,AGC,23:50 25-Feb,00:20 26-Feb,23:55 25-Feb,00:26 26-Feb
11058,DHO,00:48 26-Feb,01:09 26-Feb,00:50 26-Feb,01:11 26-Feb
11058,MRA,01:23 26-Feb,01:32 26-Feb,01:25 26-Feb,01:50 26-Feb
11058,GWL,01:55 26-Feb,02:45 26-Feb,01:57 26-Feb,02:49 26-Feb
11058,DBA,02:36 26-Feb,03:26 26-Feb,02:38 26-Feb,03:28 26-Feb
11058,DAA,03:10 26-Feb,03:57 26-Feb,03:12 26-Feb,04:00 26-Feb
11058,VGLB,04:05 26-Feb,04:20 26-Feb,04:13 26-Feb,04:37 26-Feb
11058,BAB,04:50 26-Feb,05:04 26-Feb,04:52 26-Feb,05:05 26-Feb
11058,TBT,05:24 26-Feb,05:29 26-Feb,05:26 26-Feb,05:44 26-Feb
11058,LAR,05:56 26-Feb,06:13 26-Feb,05:58 26-Feb,06:15 26-Feb
11058,DUA,06:19 26-Feb,06:37 26-Feb,06:20 26-Feb,06:40 26-Feb
11058,BINA,07:05 26-Feb,07:12 26-Feb,07:10 26-Feb,07:17 26-Feb
11058,MABA,07:28 26-Feb,07:36 26-Feb,07:30 26-Feb,07:39 26-Feb
11058,BAQ,07:50 26-Feb,08:00 26-Feb,07:52 26-Feb,08:03 26-Feb
11058,GLG,08:08 26-Feb,08:28 26-Feb,08:10 26-Feb,08:31 26-Feb
11058,BHS,08:29 26-Feb,08:48 26-Feb,08:31 26-Feb,08:51 26-Feb
